review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,2,europe_pmc_42296818,,42296818,10.1016/j.jhazmat.2026.142440,The boiling frog effect: Global warming delays emotional impacts of air pollution in warmer climates.,2026-05-22,,Wang S; Liu H; Wu CYH; Huang X; Wang R; Yang Y; Corcoran J; Lai S; Xia X; Liu Y,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,air pollution,"exposure, health, public health","Climate change, air pollution, and extreme weather interact in complex ways that impact emotional states of populations. These dynamics are crucial in effective health planning and risk profiling, how...",
review,-1,europe_pmc_PMC13172437,PMC13172437,42129968,10.1002/ecy.70413,Neotropical ants are at greater risk from global warming in savanna than in adjacent forest.,2026-05-01,,Zuanon LA; Neves KC; Andersen AN; Vasconcelos HL,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,exposure,Determining how the thermal tolerances of species are related to climatic conditions at multiple spatial scales can improve our understanding of species distributions and their vulnerability to climat...,
review,-1,europe_pmc_PMC13285055,PMC13285055,42050479,10.1186/s12889-026-27585-w,The relationship between environmental literacy and global warming knowledge levels in faculty of health sciences students.,2026-04-28,,Kıyak Yorulmaz Y; Özakgül A; Topraklı EC; Paçalı DN; Aktoprak S; Calda D; Baysal A; Aştı T,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,"health, public health",<h4>Aim</h4>This study was conducted to examine the relationship between environmental literacy and global warming knowledge levels among future healthcare professionals who will play a role in protec...,
review,-2,europe_pmc_41752246,,41752246,10.3390/ijerph23020164,Global Warming and the Elderly: A Socio-Ecological Framework.,2026-01-28,,Russin NH; Martin MP; McElhinny M,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,"exposure, mortality, morbidity, health","<b>Problem Statement:</b> Two global trends, including aging populations and the acceleration of global warming, are increasing the risk of heat-related illness, challenging the health of populations,...",
review,-2,europe_pmc_PMC12610921,PMC12610921,40685787,10.1111/sjop.70007,Who's Interested in Global Warming?,2025-07-20,,Fenton-O'Creevy M; Furnham A,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"We report on a study of the correlates of attitude to global warming (GW). We build on prior research on the role of demographic variables, personality, and political orientation in predicting attitud...",
review,-2,europe_pmc_PMC12843879,PMC12843879,41592146,10.1111/ele.70326,Variation in Tree Growth Increases With Global Warming.,2026-02-01,,Li J; He F,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"Global warming is raising both climate and weather variability. However, how this tendency may destabilise forest ecosystems is poorly understood. Using a set of global tree-ring data, we calculated t...",
review,-2,europe_pmc_PMC12936058,PMC12936058,41741423,10.1038/s41467-026-69393-1,Rising Air-Conditioning Use Intensifies Global Warming.,2026-02-25,,Zhang H; Shan Y; Li R; Xue R; Ma J; Kikstra J; Shi Z; Wang Z; Zhang B; Wang B; Fang S; Yang F; Hubacek K,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,Global warming and socio-economic development are together prompting a surge in the use of air-conditioning (AC). Yet the technology that delivers thermal comfort also emits large quantities of greenh...,
review,-2,europe_pmc_PMC12941366,PMC12941366,,,Global Warming and the Elderly: A Socio-Ecological Framework,2026-01-28,,Russin N; Martin M; McElhinny M,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,,
review,-2,europe_pmc_PMC13094374,PMC13094374,,,Assessing 2‑Fluorobutane (CH3CHFCH2CH3) as a Climate-Friendly Alternative: Atmospheric Chemistry and Global Warming Potentials,2026-04-22,,Jiménez E; Gómez-Montes L; Albaladejo J; Nielsen O,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,,
review,-2,europe_pmc_PMC13201132,PMC13201132,42205444,10.3389/fpubh.2026.1778269,Contribution of hospitals and clinical services to global warming: a scoping systematic review.,2026-05-12,,Merino-Urrutia W; Cárcamo-Fuentes C; Peña M; Zalej-Rakela B; Rodríguez-García J; Gottschalk-Cuevas MLÁ; Rubilar-Rocha F; Martínez-Zapata MJ,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,<h4>Introduction</h4>This Scoping Review aims to conduct an up-to-date and comprehensive search of the scope of existing studies on how hospitals and clinical services contribute to global warming.<h4...,
review,-2,europe_pmc_PMC13259926,PMC13259926,42291096,10.1038/s41561-026-01986-3,Lake sediment heatwaves under global warming.,2026-06-01,,Woolway RI; Shi H; Tan Z; Jansen J,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"Lake sediment heatwaves, driven by rising global temperatures, pose emerging threats to freshwater ecosystems by altering sediment thermal regimes and intensifying sediment biogeochemical processes. H...",
review,-2,europe_pmc_PMC13279932,PMC13279932,42315610,10.1038/s41598-026-57969-2,Author Correction: Predicting biomass global warming potential with FT-NIR spectroscopy.,2026-06-18,,Gyawali P; Shrestha B; Phanomsophon T; Posom J; Pornchaloempong P; Sirisomboon P; Shrestha BP; Funke A,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,,
review,-3,europe_pmc_41965197,,41965197,10.1016/j.watres.2026.125887,Cyanobacteria bloom suppression by quagga mussels disappears with global warming.,2026-04-05,,Mauch J; Teurlincx S; Schwefel R; Köhler J; Kramer L; Goldhammer T; Hilt S,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"Climate warming and biological invasions are global stressors that jointly influence harmful algal blooms (HABs) in freshwaters. Quagga mussels (Dreissena rostriformis bugensis), a major invasive spec...",
review,-3,europe_pmc_42190551,,42190551,10.1016/j.marpolbul.2026.119910,Global warming intensifies eutrophication and oxygen depletion in marine environments; a Danish perspective.,2026-05-26,,Kristensen E; Flindt MR,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"Climate change caused by anthropogenic emissions of greenhouse gases leads to ocean warming with strong effects on marine ecosystems. However, there has been limited attention on synergism between oce...",
review,-3,europe_pmc_42393034,,42393034,10.1038/s41467-026-75094-6,Ultra flash cold events under global warming.,2026-07-02,,He Y; Wang Z; Guan X; Xie Y; Huang J,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"It is widely assumed that global warming will make winters milder and reduce extreme cold. However, this assumption is contradicted by the recurrence of flash cold (FC) events-sudden, violent temperat...",
review,-3,europe_pmc_unknown,,,10.21203/rs.3.rs-9856664/v1,Global warming intensifies compound renewable energy droughts,2026-06-16,,Aminimehr A; Hellinckx P; Tabari H,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"<title>Abstract</title>  <p>The transition from fossil fuels to renewable energy is essential for mitigating human-induced climate change and achieving climate neutrality, requiring reliable and resil...",
review,-3,europe_pmc_unknown,,,10.20944/preprints202606.0410.v1,Changes in Snow Resources of Western Kazakhstan in the Context of Global Warming,2026-06-04,,Medeu A; Blagovechshenskiy V; Zhdanov V; Pimankina N,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,Global climate change impacts snow and ice resources and the frequency and timing of dangerous hydrological phenomena. The article presents the results of a study of snow resource variability in Weste...,
review,-3,europe_pmc_unknown,,,10.21203/rs.3.rs-9768367/v1,Regional reorganization of long-range climate persistence under global warming,2026-06-01,,Takalo J,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"<title>Abstract</title>  <p>Climate change is expected to modify not only mean climatic conditions but also the temporal persistence and memory structure of climate variability. However, the long-term...",
review,-3,europe_pmc_unknown,,,10.20944/preprints202606.1972.v1,More Frequent and Severe Extreme Precipitation in Inner Mongolia Under Global Warming,2026-06-26,,Wang H; Ma Y; Liu X,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"Extreme precipitation events exert profound impacts on regional ecosystems, hydrological cycles and human societies. As an important ecological barrier in northern China, Inner Mongolia (IM) is highly...",
review,-3,europe_pmc_unknown,,,10.21203/rs.3.rs-9300882/v1,Global Warming and Frequency Amplification of Extreme Sea Levels,2026-04-03,,Nawarat K; Tebaldi C; Reyns J; Ranasinghe R,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"<title>Abstract</title>  <p>Extreme sea level (ESL), a major driver of coastal flooding, is widely used as a benchmark for coastal engineering design, coastal zone management, and risk assessment. Wit...",
