review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,4,europe_pmc_PMC11189284,PMC11189284,38911103,10.4103/ijem.ijem_473_23,Global Warming and Endocrinology: The Hyderabad Declaration of the South Asian Federation of Endocrine Societies.,2024-03-01,,Bhattacharya S; Sahay R; Afsana F; Sheikh A; Widanage NM; Maskey R; Naseri MW; Murad M; Harikumar KVS; Selim S; Aamir AH; Muthukuda D; Parajuli N; Baheer MD; Latheef A; Nagendra L; Mondal S; Kamrul-Hasan ABM; Raza SA; Somasundaram N; Shrestha D; Anne B; Ramakrishnan S; Kalra S,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",hyderabad,,health,"Global warming and endocrine disorders are intertwined issues posing significant challenges. Greenhouse gases emanating from human activities drive global warming, leading to temperature rise and alte...",
review,4,europe_pmc_PMC12890902,PMC12890902,41632847,10.1073/pnas.2502873123,Amplified warming in tropical and subtropical cities under 2 °C climate change.,2026-02-03,,Berk S; Joshi MM; Goodess CM; Nowack P,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",india,,exposure,"Cities are often warmer than rural surroundings due to a phenomenon known as the urban heat island, which can be influenced by various factors, such as regional climate and land surface types. Under c...",
review,4,europe_pmc_PMC12891482,PMC12891482,41545504,10.1038/s41598-026-36299-3,Emerging heat stress patterns across India under future climate scenarios.,2026-01-16,,Molina MO; Soares PMM; Agarwal A; Trigo RM,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",india,,"health, public health","This study investigates the climate change signal on mean and extreme temperatures in India, adding new insight by using the state-of-the-art CMIP6 projections to quantify the seasonal and spatial evo...",
review,4,europe_pmc_PMC12972134,PMC12972134,41673178,10.1038/s41598-026-38289-x,Intensification and spatial shifts of heatwave hotspot across India under climate and ENSO influences with health risk assessment.,2026-02-12,,Banerjee S; Padmakumari B; Ramana MV,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, west bengal",,health,"Heatwaves (HWs) in India have intensified significantly over the past two decades, with projections of further increase in frequency and duration. While global warming mitigation efforts are advancing...",
review,4,europe_pmc_PMC13286149,PMC13286149,42329980,10.1371/journal.pone.0351740,"Cold stress during winter over North India: Patterns, trends, and mortality risks.",2026-06-22,,Athira KS; Attada R; Komeravelli S,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, uttar pradesh",,mortality,"The cold temperatures during winter contribute to significant discomfort, causing cold stress to the lives of people. In this study, we investigate the cold stress conditions and their trends over nor...",
review,3,europe_pmc_PMC12891732,PMC12891732,41545467,10.1038/s41598-026-35482-w,Near future projections of tropical cyclone tracks over the Bay of Bengal using high resolution CMIP6 models.,2026-01-16,,Adsul R; Singh VK; Parekh A; Gnanaseelan C,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, indian",,,"Future changes in tropical cyclone (TC) characteristics play a critical role in shaping the impacts and risks associated with climate change. In this study, we analyzed the near-future projections (20...",
review,3,europe_pmc_PMC13013920,PMC13013920,41876496,10.1038/s41467-026-69875-2,CO&lt;sub&gt;2&lt;/sub&gt; radiative forcing induces summer cooling over India.,2026-03-24,,Liu J; Qu X; Huang G; Lyu C,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",india,,,"In response to anthropogenic forcing, the Earth's surface generally warms as greenhouse gases trap outgoing longwave radiation. Counterintuitively, however, some regions exhibit surface cooling agains...",
review,3,europe_pmc_PMC13031848,PMC13031848,41714313,10.1038/s41467-026-69818-x,Global warming drives an increase in pre-monsoon tropical cyclone activity over the North Indian Ocean.,2026-02-19,,Shan K; Song F; Lin Y; Chu PS; Wu L; Yu X,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, indian",,,"Early-season tropical cyclones (TCs), particularly in the pre-monsoon period (April-June) of the North Indian Ocean (NIO) basin, often cause exceptionally severe damage to populated landmasses despite...",
review,3,europe_pmc_PMC13048259,PMC13048259,41931612,10.1126/sciadv.aea0082,Rising flood risks in semiarid South Asia driven by changing intraseasonal oscillations under global warming.,2026-04-03,,Xie J; Hsu PC; Lee JY; Wang L; Ray P; Zhou L; Li B,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",india,,,"Northwestern South Asia, encompassing the historically semiarid regions of Pakistan and northwest India, has seen increased persistent heavy rainfall and catastrophic flooding in recent decades. While...",
review,3,europe_pmc_PMC13183973,PMC13183973,41888120,10.1038/s41467-026-71187-4,Tropical precipitation response to anthropogenic climate change in recent decades.,2026-03-26,,Joseph L; Terray P; Sooraj KP; Masson S,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, indian",,,"Tropical rainfall plays a central role in the climate system, shaping ecosystems and societies. Here we show that recent tropical rainfall changes are primarily driven by spatial shifts in atmospheric...",
review,3,europe_pmc_PMC13245704,PMC13245704,,,Revolutionizing Solid Waste Management in India through Recycled and Repurposed Products: A Highlight of Pioneering Cutting-Edge Solutions for a Sustainable Future – A Narrative Review,2026-04-01,,Sharma H; Ruikar M,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",india,,,,
review,3,europe_pmc_PMC13287610,PMC13287610,42331792,10.1038/s41467-026-74157-y,"Patterns, drivers, and trends of urban cooling demand across global cities.",2026-06-22,,Mondal N; Anand P; Khan A; Georgescu M; Niyogi D; Santamouris M,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, indian",,,"Urban cooling demand (UCD) is shaped by the three-dimensional evolution of cities, where climate, morphology, and demographic pressures interact to determine thermal energy needs. However, urbanizatio...",
review,2,europe_pmc_42082493,,42082493,10.1038/s41467-026-72636-w,Dense canopies reverse the cooling effect of urban greening in humid cities.,2026-05-04,,Borah A; Datta A; Kumar AS; Dave R; Bhatia U,False,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, indian",,,"Urban greening is widely promoted as an adaptation strategy to cope with rising heat stress; however, its effectiveness remains uneven, especially across rapidly warming cities of the Global South. Ve...",
review,2,europe_pmc_42380440,,42380440,10.1038/s41598-026-58043-7,"Optimising CMIP6 Multi-model ensembles using ETCCDI-TOPSIS-Monte carlo framework for reliable climate projections over Odisha, India.",2026-06-30,,Kar N; Sahu SC,False,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",india,,,"Reliable regional climate projections are essential for adaptation in climate-sensitive regions such as Odisha, India. This study develops an integrated framework combining Expert Team on Climate Chan...",
review,2,europe_pmc_42432109,,42432109,10.1038/s41598-026-61019-2,Suppression of pre-monsoon tropical cyclones over the north Indian Ocean.,2026-07-10,,Emmanuel R; Deshpande M; Kanase R; Jana S; Sarkar S; Himabindu H; Ganai M; B RR; Tirkey S; Ahire P; Kumar U,False,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India","india, indian",,,"Pre-monsoon (April-June) tropical cyclones (TC) over the North Indian Ocean (NIO) pose severe coastal hazards. Surprisingly, in recent years like in 2025 and 2026 pre monsoon season there was not a si...",
review,1,europe_pmc_PMC12176879,PMC12176879,40538687,10.3389/fpubh.2025.1469486,The contemporary spell of heat stroke in Karachi amid global warming and power crisis: a threatened call for medical emergency.,2025-06-05,,Saadat A; Zubair R; Siddiqui UI; Mughal S,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,air pollution,"mortality, health, public health","The study examines the impact of population density, air pollution, and temperature on heat stroke cases in Karachi, focusing on stroke-related mortality from 2010 to 2024. It develops an intelligent ...",
review,0,europe_pmc_41856137,,41856137,10.1016/s2214-109x(26)00006-9,"Global climate justice and the future of air quality co-benefits in low-income and middle-income countries: an energy, climate, and health modelling study.",2026-04-01,,Scovronick N; Shiwang J; Ferranna M; Wagner F; Errickson F; Tong D; Yan X; Dubash NK; Liu Y; Krishna B; Fleurbaey M; Wang P; Zhang S; Keisewetter G; Smith SJ; Dennig F; Peng W; Budolfson M,False,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,air pollution,"exposure, mortality, health","<h4>Background</h4>Despite the need to limit climate change and transition to low-carbon energy, there is disagreement about how to share the burden of reducing CO<sub>2</sub> emissions. We assess dif...",
review,-1,europe_pmc_PMC11873770,PMC11873770,40041730,10.34172/hpp.43089,Climate change's impact on the nervous system: A review study.,2024-12-30,,Sadeghi MR; Ghannadi P; Lotfi A; Ashayeri H,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,,"mortality, health","<h4>Background</h4>Global warming is caused by increased carbon dioxide and other industrial gases, which shift the climate of human habitat and environment, impacting human health globally. In this r...",
review,-1,europe_pmc_PMC12540639,PMC12540639,40815304,10.1007/s00484-025-03008-0,Increasing physical work capacity losses due to heat stress increase.,2025-08-15,,Oh SG; Son SW; Hong DC,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,,exposure,"As global warming continues, hotter and more humid weather conditions become increasingly frequent, heightening population exposure to heat-stress environments. This could lead to a loss of physical w...",
review,-1,europe_pmc_PMC12590180,PMC12590180,41194634,10.1098/rsta.2024.0579,"Urban heat above and below ground: towards improved understanding, modelling, mitigation and adaptation.",2025-11-06,,Rotta Loria AF; Carmeliet J; Zhao Y,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,,health,"Heat islands have been recognied at the surface of urban areas since the nineteenth century, while their subsurface counterparts were only identified in the late twentieth century. Since then, surface...",
review,-1,europe_pmc_PMC12818776,PMC12818776,41567477,10.4103/tjem.tjem_280_25,A holistic approach to climate change in the emergency department: Direct impact of environmental factors on patients.,2026-01-01,,Yilmaz S; Tatliparmak AC; Erbil B; Akarca FK; Karakayali O; Bozkurt S; Dursun R; Bicakci N; Celikmen MF; Yilmaz S; Orak M; Karaca MA; Bulut M; Sadillioglu S; Karakoç Y,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,,"morbidity, health","Climate change is no longer a distant threat but a present and escalating burden on emergency departments (EDs) worldwide. Its direct and indirect effects, ranging from heatstroke and hypothermia to v...",
review,-1,europe_pmc_PMC12880655,PMC12880655,41650003,10.1371/journal.pgph.0005888,The impacts of climate change on occupational health and work among outdoor workers: A scoping review.,2026-02-06,,Nowrouzi-Kia B; Choi C; Premji R; Sathananthan A; Balakrishnar K; Haritos A; Long BS; Mazur M; Fatemi AB,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,,health,"Climate change has a significant impact on human health and productivity at work. Environmental changes, including extreme temperatures and natural disasters, contribute to psychological pressures and...",
review,-1,europe_pmc_PMC12992659,PMC12992659,41690963,10.1038/s41598-026-37372-7,Global spatiotemporal analysis of interactions between urban heat islands and extreme heat waves.,2026-02-14,,Guo J; Lee X; Zhang K,True,False,global_warming and temperature rise,"(""global warming"" OR ""temperature rise"" OR ""warm air"" OR heat waves OR warming of earth) AND India",,,"health, public health","Extreme heat waves (HWs), defined here as periods when daily maximum temperature exceeds the 98th percentile for three or more consecutive days, pose a significant threat to public health. The extreme...",
